['0x400000', '4 MiB', 'r-x--', 'python3.5', '0 98', 0, '0xffffffc00000', '0x400000', '3748K']
['0xa00000', '1 MiB', 'rw---', 'python3.5', '0 15', 360448, '0xfffffff00000', '0x9a8000', '612K']
['0xb40000', '256 KiB', 'rw---', 'anon', '0 98', 1044480, '0xfffffffc0000', '0xa41000', '196K']
['0x4000000', '256 KiB', 'r-x--', 'ld-2.23.so', '0 98', 0, '0xfffffffc0000', '0x4000000', '152K']
['0x405a000', '8 KiB', 'rw---', 'anon', '2 98', 212992, '0xffffffffe000', '0x4026000', '8K']
['0x4080000', '256 KiB', 'r----', 'ld.so.cache', '4 15', 360448, '0xfffffffc0000', '0x4028000', '160K']
['0x4200000', '2 MiB', 'rw---', 'anon', '5 98', 1769472, '0xffffffe00000', '0x4050000', '1808K']
['0x4400000', '8 KiB', 'rw---', 'ld-2.23.so', '0 15', 1945600, '0xffffffffe000', '0x4225000', '8K']
['0x4402000', '4 KiB', 'rw---', 'anon', '0 98', 1945600, '0xfffffffff000', '0x4227000', '4K']
['0x4800000', '8 MiB', 'rwx--', 'anon', '0 98', 6127616, '0xffffff800000', '0x4228000', '8136K']
['0x5000000', '4 KiB', 'r-x--', 'vgpreload_core-amd64-linux.so', '3 98', 6127616, '0xfffffffff000', '0x4a28000', '4K']
['0x5200000', '2 MiB', '-----', 'vgpreload_core-amd64-linux.so', '3 98', 8220672, '0xffffffe00000', '0x4a29000', '2044K']
['0x5400000', '8 KiB', 'rw---', 'vgpreload_core-amd64-linux.so', '3 14', 8224768, '0xffffffffe000', '0x4c28000', '8K']
['0x5420000', '128 KiB', 'r-x--', 'libpthread-2.23.so', '4 98', 8347648, '0xfffffffe0000', '0x4c2a000', '96K']
['0x5600000', '2 MiB', '-----', 'libpthread-2.23.so', '4 98', 10215424, '0xffffffe00000', '0x4c42000', '2044K']
['0x5800000', '8 KiB', 'rw---', 'libpthread-2.23.so', '4 14', 10219520, '0xffffffffe000', '0x4e41000', '8K']
['0x5804000', '16 KiB', 'r-x--', 'libpthread-2.23.so', '4 4', 10227712, '0xffffffffc000', '0x4e43000', '16K']
['0x5a00000', '2 MiB', 'r-x--', 'libc-2.23.so', '5 98', 12292096, '0xffffffe00000', '0x4e47000', '1792K']
['0x5c00000', '2 MiB', '-----', 'libc-2.23.so', '5 98', 12554240, '0xffffffe00000', '0x5007000', '2048K']
['0x5e00000', '32 KiB', 'rw---', 'libc-2.23.so', '5 10', 12554240, '0xffffffff8000', '0x5207000', '24K']
['0x5e08000', '16 KiB', 'r-x--', 'libc-2.23.so', '5 7', 12562432, '0xffffffffc000', '0x520d000', '16K']
['0x5e0c000', '16 KiB', 'r-x--', 'libdl-2.23.so', '8 98', 12562432, '0xffffffffc000', '0x5211000', '12K']
['0x6000000', '2 MiB', '-----', 'libdl-2.23.so', '8 98', 14598144, '0xffffffe00000', '0x5214000', '2044K']
['0x6200000', '8 KiB', 'rw---', 'libdl-2.23.so', '8 13', 14602240, '0xffffffffe000', '0x5413000', '8K']
['0x6202000', '8 KiB', 'r-x--', 'libutil-2.23.so', '9 98', 14602240, '0xffffffffe000', '0x5415000', '8K']
['0x6400000', '2 MiB', '-----', 'libutil-2.23.so', '9 98', 16683008, '0xffffffe00000', '0x5417000', '2044K']
['0x6600000', '8 KiB', 'rw---', 'libutil-2.23.so', '9 13', 16687104, '0xffffffffe000', '0x5616000', '8K']
['0x6640000', '256 KiB', 'r-x--', 'libexpat.so.1.6.0', '9 98', 16941056, '0xfffffffc0000', '0x5618000', '152K']
['0x6800000', '2 MiB', '-----', 'libexpat.so.1.6.0', '9 98', 18620416, '0xffffffe00000', '0x563e000', '2048K']
['0x6a00000', '16 KiB', 'rw---', 'libexpat.so.1.6.0', '9 12', 18620416, '0xffffffffc000', '0x583e000', '12K']
['0x6a20000', '128 KiB', 'r-x--', 'libz.so.1.2.8', '10 98', 18739200, '0xfffffffe0000', '0x5841000', '100K']
['0x6c00000', '2 MiB', '-----', 'libz.so.1.2.8', '10 98', 20602880, '0xffffffe00000', '0x585a000', '2044K']
['0x6e00000', '8 KiB', 'rw---', 'libz.so.1.2.8', '10 11', 20606976, '0xffffffffe000', '0x5a59000', '8K']
['0x7000000', '2 MiB', 'r-x--', 'libm-2.23.so', '10 98', 22695936, '0xffffffe00000', '0x5a5b000', '1056K']
['0x7200000', '2 MiB', '-----', 'libm-2.23.so', '10 98', 23711744, '0xffffffe00000', '0x5b63000', '2044K']
['0x7400000', '8 KiB', 'rw---', 'libm-2.23.so', '10 11', 23715840, '0xffffffffe000', '0x5d62000', '8K']
['0x7800000', '4 MiB', 'r----', 'locale-archive', '17 98', 27901952, '0xffffffc00000', '0x5d64000', '2920K']
