
Miss counter = 109492019

[0]: tagMask: ffffffe00000 , tag_offset: 5e200000 , ppn: 0 , valid: true , ptIndex: 588 , countAccess: 364801487
[1]: tagMask: fffff8000000 , tag_offset: 20000000 , ppn: 0 , valid: true , ptIndex: 306 , countAccess: 7116456210
[2]: tagMask: fffffe000000 , tag_offset: 44000000 , ppn: 0 , valid: true , ptIndex: 478 , countAccess: 225895177
[3]: tagMask: fffffffc0000 , tag_offset: 140000 , ppn: 0 , valid: true , ptIndex: 1 , countAccess: 280549442
[4]: tagMask: ffffffe00000 , tag_offset: 6800000 , ppn: 0 , valid: true , ptIndex: 48 , countAccess: 1529945751
[5]: tagMask: ffffffffc000 , tag_offset: 6c08000 , ppn: 0 , valid: true , ptIndex: 51 , countAccess: 611616
[6]: tagMask: ffffffc00000 , tag_offset: 2f400000 , ppn: 0 , valid: true , ptIndex: 411 , countAccess: 108289474
[7]: tagMask: ffffff800000 , tag_offset: 62000000 , ppn: 0 , valid: true , ptIndex: 599 , countAccess: 140788186

[0]: tagMask: fffffffffff0 , tag_offset: 0 , ppn: 0 , valid: true , ptIndex: 0 , countAccess: 63900
[1]: tagMask: fffffffc0000 , tag_offset: 140000 , ppn: 0 , valid: true , ptIndex: 1 , countAccess: 280549442
[2]: tagMask: ffffffffe000 , tag_offset: 32e000 , ppn: 0 , valid: true , ptIndex: 2 , countAccess: 5740013
[3]: tagMask: fffffffc0000 , tag_offset: 4000000 , ppn: 0 , valid: true , ptIndex: 3 , countAccess: 222305635
[4]: tagMask: ffffffffe000 , tag_offset: 405a000 , ppn: 0 , valid: true , ptIndex: 4 , countAccess: 681401
[5]: tagMask: fffffffc0000 , tag_offset: 4080000 , ppn: 0 , valid: true , ptIndex: 5 , countAccess: 28208
[6]: tagMask: ffffffff8000 , tag_offset: 40c0000 , ppn: 0 , valid: true , ptIndex: 6 , countAccess: 48340490
[7]: tagMask: fffffff80000 , tag_offset: 4100000 , ppn: 0 , valid: true , ptIndex: 7 , countAccess: 44675
[8]: tagMask: ffffffffc000 , tag_offset: 4180000 , ppn: 0 , valid: true , ptIndex: 8 , countAccess: 19869
[9]: tagMask: fffffffff000 , tag_offset: 4184000 , ppn: 0 , valid: true , ptIndex: 9 , countAccess: 0
[10]: tagMask: fffffffc0000 , tag_offset: 41c0000 , ppn: 0 , valid: true , ptIndex: 10 , countAccess: 6328
[11]: tagMask: fffffffe0000 , tag_offset: 4200000 , ppn: 0 , valid: true , ptIndex: 11 , countAccess: 1359
[12]: tagMask: fffffffc0000 , tag_offset: 4240000 , ppn: 0 , valid: true , ptIndex: 12 , countAccess: 17129
[13]: tagMask: fffffffe0000 , tag_offset: 4280000 , ppn: 0 , valid: true , ptIndex: 13 , countAccess: 5238
[14]: tagMask: fffffffe0000 , tag_offset: 42a0000 , ppn: 0 , valid: true , ptIndex: 14 , countAccess: 3108
[15]: tagMask: fffffffc0000 , tag_offset: 42c0000 , ppn: 0 , valid: true , ptIndex: 15 , countAccess: 179853
[16]: tagMask: fffffffc0000 , tag_offset: 4300000 , ppn: 0 , valid: true , ptIndex: 16 , countAccess: 1758806
[17]: tagMask: fffffffc0000 , tag_offset: 4340000 , ppn: 0 , valid: true , ptIndex: 17 , countAccess: 251690
[18]: tagMask: ffffffffc000 , tag_offset: 4380000 , ppn: 0 , valid: true , ptIndex: 18 , countAccess: 15862
[19]: tagMask: ffffffffc000 , tag_offset: 4384000 , ppn: 0 , valid: true , ptIndex: 19 , countAccess: 18723
[20]: tagMask: ffffffffc000 , tag_offset: 4388000 , ppn: 0 , valid: true , ptIndex: 20 , countAccess: 11169
[21]: tagMask: fffffffe0000 , tag_offset: 43a0000 , ppn: 0 , valid: true , ptIndex: 21 , countAccess: 31421
[22]: tagMask: ffffffffe000 , tag_offset: 43c0000 , ppn: 0 , valid: true , ptIndex: 22 , countAccess: 3686
[23]: tagMask: ffffffffc000 , tag_offset: 43c4000 , ppn: 0 , valid: true , ptIndex: 23 , countAccess: 2954
[24]: tagMask: ffffffffe000 , tag_offset: 43c8000 , ppn: 0 , valid: true , ptIndex: 24 , countAccess: 7989
[25]: tagMask: ffffffffe000 , tag_offset: 43ca000 , ppn: 0 , valid: true , ptIndex: 25 , countAccess: 11252876
[26]: tagMask: fffffffff000 , tag_offset: 43cc000 , ppn: 0 , valid: true , ptIndex: 26 , countAccess: 347109
[27]: tagMask: fffffffff000 , tag_offset: 43cd000 , ppn: 0 , valid: true , ptIndex: 27 , countAccess: 0
[28]: tagMask: fffffffff000 , tag_offset: 4a28000 , ppn: 0 , valid: true , ptIndex: 28 , countAccess: 28330
[29]: tagMask: ffffffe00000 , tag_offset: 4c00000 , ppn: 0 , valid: true , ptIndex: 29 , countAccess: 0
[30]: tagMask: ffffffffe000 , tag_offset: 4e00000 , ppn: 0 , valid: true , ptIndex: 30 , countAccess: 51203
[31]: tagMask: fffffffe0000 , tag_offset: 4e20000 , ppn: 0 , valid: true , ptIndex: 31 , countAccess: 141217984
[32]: tagMask: ffffffe00000 , tag_offset: 5000000 , ppn: 0 , valid: true , ptIndex: 32 , countAccess: 0
[33]: tagMask: ffffffffe000 , tag_offset: 5200000 , ppn: 0 , valid: true , ptIndex: 33 , countAccess: 304204
[34]: tagMask: ffffffffc000 , tag_offset: 5204000 , ppn: 0 , valid: true , ptIndex: 34 , countAccess: 1923462
[35]: tagMask: ffffffffc000 , tag_offset: 5208000 , ppn: 0 , valid: true , ptIndex: 35 , countAccess: 79140
[36]: tagMask: ffffffe00000 , tag_offset: 5400000 , ppn: 0 , valid: true , ptIndex: 36 , countAccess: 0
[37]: tagMask: ffffffffe000 , tag_offset: 5600000 , ppn: 0 , valid: true , ptIndex: 37 , countAccess: 77719
[38]: tagMask: ffffffe00000 , tag_offset: 5800000 , ppn: 0 , valid: true , ptIndex: 38 , countAccess: 1424232
[39]: tagMask: ffffffe00000 , tag_offset: 5a00000 , ppn: 0 , valid: true , ptIndex: 39 , countAccess: 0
[40]: tagMask: ffffffff0000 , tag_offset: 5c00000 , ppn: 0 , valid: true , ptIndex: 40 , countAccess: 114496
[41]: tagMask: ffffffffc000 , tag_offset: 5c10000 , ppn: 0 , valid: true , ptIndex: 41 , countAccess: 8509
[42]: tagMask: ffffffe00000 , tag_offset: 5e00000 , ppn: 0 , valid: true , ptIndex: 42 , countAccess: 67218003
[43]: tagMask: ffffffe00000 , tag_offset: 6000000 , ppn: 0 , valid: true , ptIndex: 43 , countAccess: 0
[44]: tagMask: ffffffffe000 , tag_offset: 6200000 , ppn: 0 , valid: true , ptIndex: 44 , countAccess: 477245
[45]: tagMask: fffffffe0000 , tag_offset: 6220000 , ppn: 0 , valid: true , ptIndex: 45 , countAccess: 33251
[46]: tagMask: ffffffe00000 , tag_offset: 6400000 , ppn: 0 , valid: true , ptIndex: 46 , countAccess: 0
[47]: tagMask: fffffffff000 , tag_offset: 6600000 , ppn: 0 , valid: true , ptIndex: 47 , countAccess: 49747
[48]: tagMask: ffffffe00000 , tag_offset: 6800000 , ppn: 0 , valid: true , ptIndex: 48 , countAccess: 1529945751
[49]: tagMask: ffffffe00000 , tag_offset: 6a00000 , ppn: 0 , valid: true , ptIndex: 49 , countAccess: 0
[50]: tagMask: ffffffff8000 , tag_offset: 6c00000 , ppn: 0 , valid: true , ptIndex: 50 , countAccess: 531525
[51]: tagMask: ffffffffc000 , tag_offset: 6c08000 , ppn: 0 , valid: true , ptIndex: 51 , countAccess: 611616
[52]: tagMask: ffffffffc000 , tag_offset: 6c0c000 , ppn: 0 , valid: true , ptIndex: 52 , countAccess: 2950
[53]: tagMask: ffffffffc000 , tag_offset: 6c10000 , ppn: 0 , valid: true , ptIndex: 53 , countAccess: 5913
[54]: tagMask: ffffffffc000 , tag_offset: 6c14000 , ppn: 0 , valid: true , ptIndex: 54 , countAccess: 5876
[55]: tagMask: ffffffff8000 , tag_offset: 6c18000 , ppn: 0 , valid: true , ptIndex: 55 , countAccess: 26041
[56]: tagMask: ffffffff0000 , tag_offset: 6c20000 , ppn: 0 , valid: true , ptIndex: 56 , countAccess: 41720
[57]: tagMask: fffffffe0000 , tag_offset: 6c40000 , ppn: 0 , valid: true , ptIndex: 57 , countAccess: 110437
[58]: tagMask: ffffffff0000 , tag_offset: 6c60000 , ppn: 0 , valid: true , ptIndex: 58 , countAccess: 55854
[59]: tagMask: ffffffffc000 , tag_offset: 6c70000 , ppn: 0 , valid: true , ptIndex: 59 , countAccess: 9374
[60]: tagMask: fffffffff000 , tag_offset: 6c74000 , ppn: 0 , valid: true , ptIndex: 60 , countAccess: 3001
