
Miss counter = 93848384

[0]: tagMask: fffffffe0000 , tag_offset: e220000 , ppn: 0 , valid: true , ptIndex: 52 , countAccess: 41136811
[1]: tagMask: ffffff000000 , tag_offset: 2e000000 , ppn: 0 , valid: true , ptIndex: 405 , countAccess: 22383686
[2]: tagMask: ffffffe00000 , tag_offset: ce00000 , ppn: 0 , valid: true , ptIndex: 34 , countAccess: 1509664483
[3]: tagMask: ffffffffc000 , tag_offset: cc00000 , ppn: 0 , valid: true , ptIndex: 32 , countAccess: 3412049
[4]: tagMask: ffffffffc000 , tag_offset: d208000 , ppn: 0 , valid: true , ptIndex: 37 , countAccess: 24380717
[5]: tagMask: ffffffff8000 , tag_offset: cc08000 , ppn: 0 , valid: true , ptIndex: 33 , countAccess: 1163479
[6]: tagMask: fffffff80000 , tag_offset: 7d680000 , ppn: 0 , valid: true , ptIndex: 776 , countAccess: 538327141
[7]: tagMask: fffffffffff0 , tag_offset: 0 , ppn: 0 , valid: true , ptIndex: 0 , countAccess: 106164862

[0]: tagMask: fffffffffff0 , tag_offset: 0 , ppn: 0 , valid: true , ptIndex: 0 , countAccess: 106164862
[1]: tagMask: fffffffff000 , tag_offset: 400000 , ppn: 0 , valid: true , ptIndex: 1 , countAccess: 68726
[2]: tagMask: ffffffffe000 , tag_offset: 600000 , ppn: 0 , valid: true , ptIndex: 2 , countAccess: 85570
[3]: tagMask: fffffffc0000 , tag_offset: 4000000 , ppn: 0 , valid: true , ptIndex: 3 , countAccess: 256497748
[4]: tagMask: fffffffc0000 , tag_offset: 4080000 , ppn: 0 , valid: true , ptIndex: 4 , countAccess: 4587368
[5]: tagMask: ffffffff8000 , tag_offset: 40c0000 , ppn: 0 , valid: true , ptIndex: 5 , countAccess: 317112
[6]: tagMask: fffffffff000 , tag_offset: 40c8000 , ppn: 0 , valid: true , ptIndex: 6 , countAccess: 100890
