
Miss counter = 36190489

[0]: tagMask: fffffffc0000 , tag_offset: 3e140000 , ppn: 0 , valid: true , ptIndex: 102 , countAccess: 293544671
[1]: tagMask: fffffe000000 , tag_offset: 2000000 , ppn: 0 , valid: true , ptIndex: 1 , countAccess: 8666045564
[2]: tagMask: fffffff00000 , tag_offset: 4200000 , ppn: 0 , valid: true , ptIndex: 3 , countAccess: 39770131
[3]: tagMask: ffffff000000 , tag_offset: 8c000000 , ppn: 0 , valid: true , ptIndex: 161 , countAccess: 326692772
[4]: tagMask: ffffffe00000 , tag_offset: 4000000 , ppn: 0 , valid: true , ptIndex: 2 , countAccess: 116575993
[5]: tagMask: fffff0000000 , tag_offset: 20000000 , ppn: 0 , valid: true , ptIndex: 73 , countAccess: 135203533
[6]: tagMask: ffffffe00000 , tag_offset: 8a00000 , ppn: 0 , valid: true , ptIndex: 54 , countAccess: 1333257850
[7]: tagMask: fffff8000000 , tag_offset: 10000000 , ppn: 0 , valid: true , ptIndex: 61 , countAccess: 138733053

[0]: tagMask: fffffffffff0 , tag_offset: 0 , ppn: 0 , valid: true , ptIndex: 0 , countAccess: 116383
[1]: tagMask: fffffe000000 , tag_offset: 2000000 , ppn: 0 , valid: true , ptIndex: 1 , countAccess: 8666045564
[2]: tagMask: ffffffe00000 , tag_offset: 4000000 , ppn: 0 , valid: true , ptIndex: 2 , countAccess: 116575993
[3]: tagMask: fffffff00000 , tag_offset: 4200000 , ppn: 0 , valid: true , ptIndex: 3 , countAccess: 39770131
[4]: tagMask: fffffffc0000 , tag_offset: 4300000 , ppn: 0 , valid: true , ptIndex: 4 , countAccess: 4978678
[5]: tagMask: fffffffc0000 , tag_offset: 4340000 , ppn: 0 , valid: true , ptIndex: 5 , countAccess: 192044
[6]: tagMask: fffffffff000 , tag_offset: 4380000 , ppn: 0 , valid: true , ptIndex: 6 , countAccess: 766
[7]: tagMask: ffffffe00000 , tag_offset: 4400000 , ppn: 0 , valid: true , ptIndex: 7 , countAccess: 2729044
[8]: tagMask: ffffffffe000 , tag_offset: 4600000 , ppn: 0 , valid: true , ptIndex: 8 , countAccess: 112433
[9]: tagMask: fffffffff000 , tag_offset: 4602000 , ppn: 0 , valid: true , ptIndex: 9 , countAccess: 52442
[10]: tagMask: ffffff800000 , tag_offset: 4800000 , ppn: 0 , valid: true , ptIndex: 10 , countAccess: 718866610
[11]: tagMask: fffffffff000 , tag_offset: 5000000 , ppn: 0 , valid: true , ptIndex: 11 , countAccess: 3239
[12]: tagMask: ffffffe00000 , tag_offset: 5200000 , ppn: 0 , valid: true , ptIndex: 12 , countAccess: 0
[13]: tagMask: ffffffffe000 , tag_offset: 5400000 , ppn: 0 , valid: true , ptIndex: 13 , countAccess: 5503
[14]: tagMask: fffffffff000 , tag_offset: 5402000 , ppn: 0 , valid: true , ptIndex: 14 , countAccess: 1267580
[15]: tagMask: ffffffe00000 , tag_offset: 5600000 , ppn: 0 , valid: true , ptIndex: 15 , countAccess: 0
[16]: tagMask: ffffffffe000 , tag_offset: 5800000 , ppn: 0 , valid: true , ptIndex: 16 , countAccess: 5596
[17]: tagMask: fffffffe0000 , tag_offset: 5820000 , ppn: 0 , valid: true , ptIndex: 17 , countAccess: 3674
[18]: tagMask: ffffffe00000 , tag_offset: 5a00000 , ppn: 0 , valid: true , ptIndex: 18 , countAccess: 0
[19]: tagMask: ffffffffe000 , tag_offset: 5c00000 , ppn: 0 , valid: true , ptIndex: 19 , countAccess: 5643
[20]: tagMask: ffffffff0000 , tag_offset: 5c10000 , ppn: 0 , valid: true , ptIndex: 20 , countAccess: 34057
[21]: tagMask: ffffffe00000 , tag_offset: 5e00000 , ppn: 0 , valid: true , ptIndex: 21 , countAccess: 0
[22]: tagMask: ffffffffe000 , tag_offset: 6000000 , ppn: 0 , valid: true , ptIndex: 22 , countAccess: 6398
[23]: tagMask: ffffffff8000 , tag_offset: 6008000 , ppn: 0 , valid: true , ptIndex: 23 , countAccess: 5110
[24]: tagMask: ffffffe00000 , tag_offset: 6200000 , ppn: 0 , valid: true , ptIndex: 24 , countAccess: 0
[25]: tagMask: ffffffffe000 , tag_offset: 6400000 , ppn: 0 , valid: true , ptIndex: 25 , countAccess: 5886
[26]: tagMask: fffffffff000 , tag_offset: 6402000 , ppn: 0 , valid: true , ptIndex: 26 , countAccess: 0
[27]: tagMask: ffffffff0000 , tag_offset: 6410000 , ppn: 0 , valid: true , ptIndex: 27 , countAccess: 3835
[28]: tagMask: ffffffe00000 , tag_offset: 6600000 , ppn: 0 , valid: true , ptIndex: 28 , countAccess: 0
[29]: tagMask: ffffffffe000 , tag_offset: 6800000 , ppn: 0 , valid: true , ptIndex: 29 , countAccess: 5833
[30]: tagMask: fffffffc0000 , tag_offset: 6840000 , ppn: 0 , valid: true , ptIndex: 30 , countAccess: 0
[31]: tagMask: ffffffffc000 , tag_offset: 6880000 , ppn: 0 , valid: true , ptIndex: 31 , countAccess: 4262
[32]: tagMask: ffffffe00000 , tag_offset: 6a00000 , ppn: 0 , valid: true , ptIndex: 32 , countAccess: 0
[33]: tagMask: ffffffffe000 , tag_offset: 6c00000 , ppn: 0 , valid: true , ptIndex: 33 , countAccess: 5595
[34]: tagMask: fffffffe0000 , tag_offset: 6c20000 , ppn: 0 , valid: true , ptIndex: 34 , countAccess: 4333
[35]: tagMask: ffffffe00000 , tag_offset: 6e00000 , ppn: 0 , valid: true , ptIndex: 35 , countAccess: 0
[36]: tagMask: ffffffffe000 , tag_offset: 7000000 , ppn: 0 , valid: true , ptIndex: 36 , countAccess: 5588
[37]: tagMask: ffffffff8000 , tag_offset: 7008000 , ppn: 0 , valid: true , ptIndex: 37 , countAccess: 4532
[38]: tagMask: ffffffe00000 , tag_offset: 7200000 , ppn: 0 , valid: true , ptIndex: 38 , countAccess: 0
[39]: tagMask: ffffffffe000 , tag_offset: 7400000 , ppn: 0 , valid: true , ptIndex: 39 , countAccess: 5740
[40]: tagMask: fffffffe0000 , tag_offset: 7420000 , ppn: 0 , valid: true , ptIndex: 40 , countAccess: 155014354
[41]: tagMask: ffffffe00000 , tag_offset: 7600000 , ppn: 0 , valid: true , ptIndex: 41 , countAccess: 0
[42]: tagMask: ffffffffe000 , tag_offset: 7800000 , ppn: 0 , valid: true , ptIndex: 42 , countAccess: 4505575
