
Miss counter = 26513962

[0]: tagMask: ffffffc00000 , tag_offset: 400000 , ppn: 0 , valid: true , ptIndex: 1 , countAccess: 1880331637
[1]: tagMask: fffffffe0000 , tag_offset: 1fff000000 , ppn: 0 , valid: true , ptIndex: 128 , countAccess: 378006275
[2]: tagMask: fffffff00000 , tag_offset: a00000 , ppn: 0 , valid: true , ptIndex: 2 , countAccess: 72848708
[3]: tagMask: ffffff800000 , tag_offset: f800000 , ppn: 0 , valid: true , ptIndex: 110 , countAccess: 65949610
[4]: tagMask: ffffff800000 , tag_offset: 4800000 , ppn: 0 , valid: true , ptIndex: 10 , countAccess: 85805707
[5]: tagMask: fffffffc0000 , tag_offset: b40000 , ppn: 0 , valid: true , ptIndex: 3 , countAccess: 27312440
[6]: tagMask: ffffffe00000 , tag_offset: 4200000 , ppn: 0 , valid: true , ptIndex: 7 , countAccess: 36278796
[7]: tagMask: fffffffffff0 , tag_offset: 0 , ppn: 0 , valid: true , ptIndex: 0 , countAccess: 7406220

[0]: tagMask: fffffffffff0 , tag_offset: 0 , ppn: 0 , valid: true , ptIndex: 0 , countAccess: 7406220
[1]: tagMask: ffffffc00000 , tag_offset: 400000 , ppn: 0 , valid: true , ptIndex: 1 , countAccess: 1880331637
[2]: tagMask: fffffff00000 , tag_offset: a00000 , ppn: 0 , valid: true , ptIndex: 2 , countAccess: 72848708
[3]: tagMask: fffffffc0000 , tag_offset: b40000 , ppn: 0 , valid: true , ptIndex: 3 , countAccess: 27312440
[4]: tagMask: fffffffc0000 , tag_offset: 4000000 , ppn: 0 , valid: true , ptIndex: 4 , countAccess: 0
[5]: tagMask: ffffffffe000 , tag_offset: 405a000 , ppn: 0 , valid: true , ptIndex: 5 , countAccess: 0
[6]: tagMask: fffffffc0000 , tag_offset: 4080000 , ppn: 0 , valid: true , ptIndex: 6 , countAccess: 0
[7]: tagMask: ffffffe00000 , tag_offset: 4200000 , ppn: 0 , valid: true , ptIndex: 7 , countAccess: 36278796
[8]: tagMask: ffffffffe000 , tag_offset: 4400000 , ppn: 0 , valid: true , ptIndex: 8 , countAccess: 337
[9]: tagMask: fffffffff000 , tag_offset: 4402000 , ppn: 0 , valid: true , ptIndex: 9 , countAccess: 0
[10]: tagMask: ffffff800000 , tag_offset: 4800000 , ppn: 0 , valid: true , ptIndex: 10 , countAccess: 85805707
[11]: tagMask: fffffffff000 , tag_offset: 5000000 , ppn: 0 , valid: true , ptIndex: 11 , countAccess: 0
[12]: tagMask: ffffffe00000 , tag_offset: 5200000 , ppn: 0 , valid: true , ptIndex: 12 , countAccess: 0
[13]: tagMask: ffffffffe000 , tag_offset: 5400000 , ppn: 0 , valid: true , ptIndex: 13 , countAccess: 0
[14]: tagMask: fffffffe0000 , tag_offset: 5420000 , ppn: 0 , valid: true , ptIndex: 14 , countAccess: 302746
[15]: tagMask: ffffffe00000 , tag_offset: 5600000 , ppn: 0 , valid: true , ptIndex: 15 , countAccess: 0
[16]: tagMask: ffffffffe000 , tag_offset: 5800000 , ppn: 0 , valid: true , ptIndex: 16 , countAccess: 3962
[17]: tagMask: ffffffffc000 , tag_offset: 5804000 , ppn: 0 , valid: true , ptIndex: 17 , countAccess: 4522
[18]: tagMask: ffffffe00000 , tag_offset: 5a00000 , ppn: 0 , valid: true , ptIndex: 18 , countAccess: 87130511
[19]: tagMask: ffffffe00000 , tag_offset: 5c00000 , ppn: 0 , valid: true , ptIndex: 19 , countAccess: 0
[20]: tagMask: ffffffff8000 , tag_offset: 5e00000 , ppn: 0 , valid: true , ptIndex: 20 , countAccess: 4707400
[21]: tagMask: ffffffffc000 , tag_offset: 5e08000 , ppn: 0 , valid: true , ptIndex: 21 , countAccess: 1303083
[22]: tagMask: ffffffffc000 , tag_offset: 5e0c000 , ppn: 0 , valid: true , ptIndex: 22 , countAccess: 0
[23]: tagMask: ffffffe00000 , tag_offset: 6000000 , ppn: 0 , valid: true , ptIndex: 23 , countAccess: 0
[24]: tagMask: ffffffffe000 , tag_offset: 6200000 , ppn: 0 , valid: true , ptIndex: 24 , countAccess: 0
[25]: tagMask: ffffffffe000 , tag_offset: 6202000 , ppn: 0 , valid: true , ptIndex: 25 , countAccess: 0
[26]: tagMask: ffffffe00000 , tag_offset: 6400000 , ppn: 0 , valid: true , ptIndex: 26 , countAccess: 0
[27]: tagMask: ffffffffe000 , tag_offset: 6600000 , ppn: 0 , valid: true , ptIndex: 27 , countAccess: 0
[28]: tagMask: fffffffc0000 , tag_offset: 6640000 , ppn: 0 , valid: true , ptIndex: 28 , countAccess: 0
[29]: tagMask: ffffffe00000 , tag_offset: 6800000 , ppn: 0 , valid: true , ptIndex: 29 , countAccess: 0
[30]: tagMask: ffffffffc000 , tag_offset: 6a00000 , ppn: 0 , valid: true , ptIndex: 30 , countAccess: 0
[31]: tagMask: fffffffe0000 , tag_offset: 6a20000 , ppn: 0 , valid: true , ptIndex: 31 , countAccess: 34001061
[32]: tagMask: ffffffe00000 , tag_offset: 6c00000 , ppn: 0 , valid: true , ptIndex: 32 , countAccess: 0
[33]: tagMask: ffffffffe000 , tag_offset: 6e00000 , ppn: 0 , valid: true , ptIndex: 33 , countAccess: 616
[34]: tagMask: ffffffe00000 , tag_offset: 7000000 , ppn: 0 , valid: true , ptIndex: 34 , countAccess: 57
[35]: tagMask: ffffffe00000 , tag_offset: 7200000 , ppn: 0 , valid: true , ptIndex: 35 , countAccess: 0
[36]: tagMask: ffffffffe000 , tag_offset: 7400000 , ppn: 0 , valid: true , ptIndex: 36 , countAccess: 0
[37]: tagMask: ffffffc00000 , tag_offset: 7800000 , ppn: 0 , valid: true , ptIndex: 37 , countAccess: 0
[38]: tagMask: ffffffe00000 , tag_offset: 7c00000 , ppn: 0 , valid: true , ptIndex: 38 , countAccess: 4626755
