
Miss counter = 57008

[0]: tagMask: 281474974613504 , tag_offset: 241172480 , ppn: 0 , valid: true , ptIndex: 104 , countAccess: 26256
[1]: tagMask: 281474976579584 , tag_offset: 137422176256 , ppn: 0 , valid: true , ptIndex: 127 , countAccess: 575309
[2]: tagMask: 281474972516352 , tag_offset: 218103808 , ppn: 0 , valid: true , ptIndex: 90 , countAccess: 107153
[3]: tagMask: 281474974613504 , tag_offset: 69206016 , ppn: 0 , valid: true , ptIndex: 6 , countAccess: 64095
[4]: tagMask: 281474972516352 , tag_offset: 4194304 , ppn: 0 , valid: true , ptIndex: 0 , countAccess: 4191383
[5]: tagMask: 281474968322048 , tag_offset: 192937984 , ppn: 0 , valid: true , ptIndex: 79 , countAccess: 4946
[6]: tagMask: 281474975662080 , tag_offset: 10485760 , ppn: 0 , valid: true , ptIndex: 1 , countAccess: 108752
[7]: tagMask: 281474968322048 , tag_offset: 75497472 , ppn: 0 , valid: true , ptIndex: 9 , countAccess: 335376

[0]: tagMask: 281474972516352 , tag_offset: 4194304 , ppn: 0 , valid: true , ptIndex: 0 , countAccess: 4191383
[1]: tagMask: 281474975662080 , tag_offset: 10485760 , ppn: 0 , valid: true , ptIndex: 1 , countAccess: 108752
[2]: tagMask: 281474976448512 , tag_offset: 11796480 , ppn: 0 , valid: true , ptIndex: 2 , countAccess: 33543
[3]: tagMask: 281474976448512 , tag_offset: 67108864 , ppn: 0 , valid: true , ptIndex: 3 , countAccess: 0
[4]: tagMask: 281474976702464 , tag_offset: 67477504 , ppn: 0 , valid: true , ptIndex: 4 , countAccess: 0
[5]: tagMask: 281474976448512 , tag_offset: 67633152 , ppn: 0 , valid: true , ptIndex: 5 , countAccess: 0
[6]: tagMask: 281474974613504 , tag_offset: 69206016 , ppn: 0 , valid: true , ptIndex: 6 , countAccess: 64095
[7]: tagMask: 281474976702464 , tag_offset: 71303168 , ppn: 0 , valid: true , ptIndex: 7 , countAccess: 5
[8]: tagMask: 281474976706560 , tag_offset: 71311360 , ppn: 0 , valid: true , ptIndex: 8 , countAccess: 0
[9]: tagMask: 281474968322048 , tag_offset: 75497472 , ppn: 0 , valid: true , ptIndex: 9 , countAccess: 335376
[10]: tagMask: 281474976706560 , tag_offset: 83886080 , ppn: 0 , valid: true , ptIndex: 10 , countAccess: 0
[11]: tagMask: 281474974613504 , tag_offset: 85983232 , ppn: 0 , valid: true , ptIndex: 11 , countAccess: 0
[12]: tagMask: 281474976702464 , tag_offset: 88080384 , ppn: 0 , valid: true , ptIndex: 12 , countAccess: 0
